File_Path,Issue_Name,Line,Severity,Rule,Type
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/entity/descriptors/BookDescriptor.java,【_xmlName】命名不能以_或$开始,46,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/entity/descriptors/BookDescriptor.java,【_identity】命名不能以_或$开始,51,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/MemberFactory.java,【nsURInsURI】应该作为equals的参数，而不是调用方,174,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/factory/MemberFactory.java,【xsTypexsType.getJType().toString()】应该作为equals的参数，而不是调用方,618,严重,[p3c]Equals should be invoked by a constant or an object that is definitely not null.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSByte.java,【_asWrapper】命名不能以_或$开始,47,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/src/main/java/org/exolab/castor/builder/types/XSByte.java,【_jType】命名不能以_或$开始,50,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/simple/Father.java,【_ssnr】命名不能以_或$开始,27,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/simple/Father.java,【_has_ssnr】命名不能以_或$开始,32,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/simple/Father.java,【_firstName】命名不能以_或$开始,38,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
castor-1.3.1/codegen/codegen/target/generated-sources/castor/org/exolab/castor/builder/appInfo/generated/simple/Father.java,【_lastName】命名不能以_或$开始,44,严重,[p3c]All names should not start or end with an underline or a dollar sign.,
